"","NCT.Number","Recruitment","Conditions","Interventions","Sponsor.Collaborators","Phases","Enrollment","Funded.Bys","Study.Type","Start.Date","Completion.Date","country","start_year","Completion_year","start_month","Completion_month","duration","ROR"
"9519","NCT00080899","Completed","Prostate Cancer","Drug: fenretinide|Other: laboratory biomarker analysis","National Cancer Institute (NCI)","Phase 2","23","NIH","Interventional","June 2004","January 2009","United States of America","2004","2009","6","1","55","0.418181818181818"
"9520","NCT03242265","Recruiting","Prostate Cancer","Diagnostic Test: IVDD for NK cell activity in whole blood","ATGen Canada Inc","NA","200","Industry","Interventional","April 4, 2017","December 2018","Canada","2017","2018","4","12","20","10"
"9521","NCT01240629","Completed","Prostate Cancer","Other: laboratory biomarker analysis|Other: questionnaire administration|Drug: doxorubicin-GnRH agonist conjugate AEZS-108","University of Southern California","Phase 1|Phase 2","43","Other|NIH|Industry","Interventional","November 2, 2010","February 2, 2017","United States of America","2010","2017","11","2","75","0.573333333333333"
"9522","NCT01674270","Completed","Prostate Cancer","Drug: Degarelix|Drug: Casodex|Drug: LHRH Agonist","University Health Network, Toronto","Phase 2","35","Other","Interventional","August 2012","November 2015","Canada","2012","2015","8","11","39","0.897435897435897"
"9523","NCT02435472","Recruiting","Prostate Cancer","Behavioral: Exercise","University of California, San Francisco","Phase 2","150","Other","Interventional","October 2016","April 2025","United States of America","2016","2025","10","4","102","1.47058823529412"
"9524","NCT02234089","Active, not recruiting","Prostate Cancer","Drug: Degarelix|Drug: LHRH agonist (Leuprorelinacetat, Goserelinacetat, Buserelinacetat, Triptorelinacetat)","Ferring Pharmaceuticals","NA","430","Industry","Observational","September 2014","December 2020","Germany","2014","2020","9","12","75","5.73333333333333"
"9525","NCT01508390","Recruiting","Prostate Cancer","Radiation: CyberKnife Boost","Boston Medical Center","NA","30","Other","Interventional","June 2011","December 2019","United States of America","2011","2019","6","12","102","0.294117647058824"
"9526","NCT02155998","Completed","Prostate Cancer","NA","AstraZeneca","NA","200","Industry","Observational","July 2014","December 2016","Russia","2014","2016","7","12","29","6.89655172413793"
"9527","NCT01412853","Completed","Prostate Cancer","Other: MR-Spectroscopy","Centre Georges Francois Leclerc","NA","90","Other","Interventional","February 2008","December 2016","France","2008","2016","2","12","106","0.849056603773585"
"9528","NCT00438464","Completed","Prostate Cancer","Drug: Finasteride|Other: Placebo|Procedure: Prostatectomy|Other: Laboratory biomarker analysis","National Cancer Institute (NCI)","Phase 2","204","NIH|Other","Interventional","February 2007","April 2012","United States of America","2007","2012","2","4","62","3.29032258064516"
"9529","NCT00087659","Completed","Prostate Cancer","Drug: zoledronic acid","Novartis Pharmaceuticals","NA","NA","Industry","Interventional","December 2003","May 2007","United States of America","2003","2007","12","5","41","NA"
"9530","NCT01666808","Recruiting","Prostate Cancer","Drug: FACBC|Radiation: Radiation therapy","Emory University","Phase 2|Phase 3","162","Other|NIH","Interventional","September 2012","June 2018","United States of America","2012","2018","9","6","69","2.34782608695652"
"9531","NCT01574937","Active, not recruiting","Prostate Cancer","Drug: Cabozantinib|Drug: Abiraterone","Dana-Farber Cancer Institute","Phase 1","27","Other","Interventional","September 2012","December 2017","United States of America","2012","2017","9","12","63","0.428571428571429"
"9532","NCT00165386","Completed","Prostate Cancer","Procedure: Magnetic Resonance Imaging|Procedure: Bone Marrow Biopsy","Dana-Farber Cancer Institute","NA","20","Other","Interventional","July 2001","January 2006","United States of America","2001","2006","7","1","54","0.37037037037037"
"9533","NCT02501759","Completed","Prostate Cancer","Procedure: 3 Tesla Magnetic Resonance Imaging|Radiation: Gadodiamide|Procedure: Multiparametric Magnetic Resonance Imaging|Procedure: Transrectal Biopsy|Procedure: Ultrasound-Guided Prostate Biopsy","OHSU Knight Cancer Institute","NA","2","Other|NIH","Interventional","May 2015","February 10, 2017","United States of America","2015","2017","5","2","21","0.0952380952380952"
"9534","NCT00421694","Completed","Prostate Cancer","Drug: Bicalutamide","University of L'Aquila","Phase 2|Phase 3","119","Other","Interventional","null","null","Italy","NA","NA","NA","NA","NA","NA"
"9535","NCT02235142","Recruiting","Prostate Cancer","Other: Blood sample","Hopital Foch","NA","1500","Other","Interventional","June 2014","December 2021","France","2014","2021","6","12","90","16.6666666666667"
"9536","NCT01393119","Terminated","Prostate Cancer","Drug: GTx-758","GTx","Phase 2","43","Industry","Interventional","August 2011","December 2012","United States of America","2011","2012","8","12","16","2.6875"
"9537","NCT01499381","Completed","Prostate Cancer","NA","Caris Science, Inc.","NA","1290","Industry","Observational","December 2011","July 2012","United States of America","2011","2012","12","7","7","184.285714285714"
"9538","NCT00949962","Terminated","Prostate Cancer","Drug: antiandrogen therapy|Drug: leuprolide acetate|Radiation: 3-dimensional conformal radiation therapy","European Organisation for Research and Treatment of Cancer - EORTC","Phase 3","87","Other","Interventional","October 2009","June 2016","France","2009","2016","10","6","80","1.0875"
"9539","NCT00527124","Terminated","Prostate Cancer","Drug: cediranib maleate|Drug: docetaxel|Drug: prednisone|Other: laboratory biomarker analysis","National Cancer Institute (NCI)","Phase 2","57","NIH","Interventional","November 2007","November 2013","United States of America","2007","2013","11","11","72","0.791666666666667"
"9540","NCT01230905","Completed","Prostate Cancer","Radiation: PET scan and ultrasound","Ottawa Heart Institute Research Corporation","Phase 4","181","Other","Interventional","July 2008","September 2011","Canada","2008","2011","7","9","38","4.76315789473684"
"9541","NCT01431391","Completed","Prostate Cancer","Biological: sipuleucel-T|Drug: leuprolide acetate","Dendreon","Phase 2","68","Industry","Interventional","September 2011","December 2014","United States of America","2011","2014","9","12","39","1.74358974358974"
"9542","NCT01813370","Enrolling by invitation","Prostate Cancer","Other: No intervention","Memorial Sloan Kettering Cancer Center","NA","19","Other|U.S. Fed","Observational","March 2013","March 2018","Lithuania","2013","2018","3","3","60","0.316666666666667"
"9543","NCT00151086","Completed","Prostate Cancer","Drug: Estramustine|Drug: Vinorelbine","University of Michigan Cancer Center","Phase 1|Phase 2","33","Other|Industry","Interventional","December 2001","August 2006","United States of America","2001","2006","12","8","56","0.589285714285714"
"9544","NCT00003232","Completed","Prostate Cancer","Drug: clodronate disodium|Drug: mitoxantrone hydrochloride|Drug: prednisone|Procedure: quality-of-life assessment","NCIC Clinical Trials Group","Phase 3","204","Other","Interventional","November 1997","February 2009","Canada","1997","2009","11","2","135","1.51111111111111"
"9545","NCT02640131","Recruiting","Prostate Cancer","Behavioral: Biomedical Component|Behavioral: Psychosocial Component|Behavioral: Attention Control","University Health Network, Toronto","NA","96","Other","Interventional","January 2014","January 2017","Canada","2014","2017","1","1","36","2.66666666666667"
"9546","NCT02438007","Terminated","Prostate Cancer","Drug: Galeterone|Drug: Enzalutamide","Novus Therapeutics, Inc","Phase 3","953","Industry","Interventional","June 2015","November 2016","United Kingdom","2015","2016","6","11","17","56.0588235294118"
"9547","NCT00084552","Active, not recruiting","Prostate Cancer","Radiation: radiation therapy","Fox Chase Cancer Center","Phase 3","200","Other","Interventional","December 2003","null","United States of America","2003","NA","12","NA","NA","NA"
"9548","NCT01673984","Terminated","Prostate Cancer","Drug: Decapeptyl® SR 22.5mg|Drug: Decapeptyl® SR 11.25mg; Prostap® 3 DCS 11.25mg; Zoladex® LA 10.8mg","Ipsen","Phase 4","27","Industry","Interventional","August 2012","February 2014","United Kingdom","2012","2014","8","2","18","1.5"
"9549","NCT00329043","Active, not recruiting","Prostate Cancer","Drug: LHRH Agonist|Drug: Sunitinib Malate|Procedure: Radical Prostatectomy","M.D. Anderson Cancer Center","Phase 2","64","Other|Industry","Interventional","May 2006","May 2019","United States of America","2006","2019","5","5","156","0.41025641025641"
"9550","NCT00127088","Suspended","Prostate Cancer","Drug: docetaxel|Procedure: laparoscopic radical prostatectomy","Gustave Roussy, Cancer Campus, Grand Paris","Phase 2","37","Other","Interventional","October 2004","null","France","2004","NA","10","NA","NA","NA"
"9551","NCT02913196","Recruiting","Prostate Cancer","Drug: Apalutamide|Drug: Abiraterone acetate|Drug: Docetaxel|Drug: Prednisone","Weill Medical College of Cornell University","Phase 1","24","Other|Industry","Interventional","December 2016","March 2021","United States of America","2016","2021","12","3","51","0.470588235294118"
"9552","NCT02050906","Active, not recruiting","Prostate Cancer","Behavioral: behavioral dietary intervention|Behavioral: exercise intervention|Other: behavioral activity counseling|Behavioral: telephone based counseling|Procedure: quality-of-life assessment|Other: questionnaire administration","Ohio State University Comprehensive Cancer Center","NA","40","Other|NIH","Interventional","April 2012","null","United States of America","2012","NA","4","NA","NA","NA"
"9553","NCT00059631","Completed","Prostate Cancer","Drug: Mitoxantrone (Novantrone)|Drug: Bortezomib (PS-341)","M.D. Anderson Cancer Center","Phase 1","42","Other|Industry|NIH","Interventional","March 2003","June 2015","United States of America","2003","2015","3","6","147","0.285714285714286"
"9554","NCT01952223","Recruiting","Prostate Cancer","Drug: Cabazitaxel|Radiation: Pelvic radiotherapy|Radiation: prostate radiotherapy","UNICANCER","Phase 3","1048","Other","Interventional","September 2013","September 2026","France","2013","2026","9","9","156","6.71794871794872"
"9555","NCT00085566","Completed","Prostate Cancer","Drug: everolimus|Drug: gefitinib","Memorial Sloan Kettering Cancer Center","Phase 1|Phase 2","61","Other|NIH","Interventional","March 2004","February 2008","Spain","2004","2008","3","2","47","1.29787234042553"
"9556","NCT00908674","Completed","Prostate Cancer","Drug: Cyproterone acetate (Androcur)","Bayer","NA","245","Industry","Observational","June 2008","January 2010","Hungary","2008","2010","6","1","19","12.8947368421053"
"9557","NCT00459407","Completed","Prostate Cancer","Dietary Supplement: defined green tea catechin extract|Drug: placebo|Other: immunohistochemistry staining method|Other: immunoenzyme technique|Other: laboratory biomarker analysis|Procedure: biopsy|Other: mass spectrometry|Other: high performance liquid chromatography","National Cancer Institute (NCI)","Phase 1","50","NIH","Interventional","March 2007","August 2010","United States of America","2007","2010","3","8","41","1.21951219512195"
"9558","NCT01703065","Terminated","Prostate Cancer","Drug: Cabozantinib","University of Washington","Phase 2","9","Other|NIH","Interventional","June 18, 2013","September 18, 2015","United States of America","2013","2015","6","9","27","0.333333333333333"
"9559","NCT01155791","Terminated","Prostate Cancer","Drug: Docetaxel|Drug: Biosyn|Drug: Prednisone","Sandy Srinivas","Phase 1","2","Other","Interventional","April 2010","October 2012","United States of America","2010","2012","4","10","30","0.0666666666666667"
"9560","NCT00493766","Terminated","Prostate Cancer","Drug: LBH589","Novartis Pharmaceuticals","Phase 1","16","Industry","Interventional","May 2006","null","United States of America","2006","NA","5","NA","NA","NA"
"9561","NCT00331344","Completed","Prostate Cancer","Drug: mitoxantrone hydrochloride|Drug: ixabepilone|Drug: prednisone","National Cancer Institute (NCI)","Phase 1|Phase 2","100","NIH","Interventional","April 2006","November 2010","United States of America","2006","2010","4","11","55","1.81818181818182"
"9562","NCT01590498","Unknown status","Prostate Cancer","NA","Zhengzhou University","NA","2000","Other","Observational","May 2012","March 2017","China","2012","2017","5","3","58","34.4827586206897"
"9563","NCT02578797","Active, not recruiting","Prostate Cancer","Drug: Apalutamide","Aragon Pharmaceuticals, Inc.","Phase 1","45","Industry","Interventional","December 18, 2015","July 31, 2018","United Kingdom","2015","2018","12","7","31","1.45161290322581"
"9564","NCT00056654","Completed","Prostate Cancer","Drug: Leuprolide acetate","Abbott","NA","164","Industry","Interventional","March 2003","July 2004","United States of America","2003","2004","3","7","16","10.25"
"9565","NCT00087139","Completed","Prostate Cancer","Drug: ixabepilone","National Cancer Institute (NCI)","Phase 2","124","NIH","Interventional","September 2004","February 2011","United States of America","2004","2011","9","2","77","1.61038961038961"
"9566","NCT00838201","Completed","Prostate Cancer","Drug: Denosumab","Amgen","Phase 3","384","Industry","Interventional","February 2009","July 2012","Poland","2009","2012","2","7","41","9.36585365853658"
"9567","NCT03360006","Not yet recruiting","Prostate Cancer","Drug: ABBV-744","AbbVie","Phase 1","80","Industry","Interventional","February 28, 2018","February 29, 2020","United States of America","2018","2020","2","2","24","3.33333333333333"
"9568","NCT00078585","Completed","Prostate Cancer","Biological: PROSTVAC®-VF/TRICOM™","Bavarian Nordic","Phase 2","120","Industry|NIH","Interventional","November 2003","January 2009","United States of America","2003","2009","11","1","62","1.93548387096774"
"9569","NCT01257425","Completed","Prostate Cancer","Drug: Triptorelin Pamoate (Pamorelin® LA 11.25 mg)","Ipsen","Phase 2","109","Industry","Interventional","December 2010","May 2012","Germany","2010","2012","12","5","17","6.41176470588235"
"9570","NCT02655952","Recruiting","Prostate Cancer","Drug: Foxy-5","WntResearch AB","Phase 1","15","Industry","Interventional","April 2016","June 2017","United Kingdom","2016","2017","4","6","14","1.07142857142857"
"9571","NCT03204812","Recruiting","Prostate Cancer","Drug: Durvalumab|Drug: Tremelimumab","M.D. Anderson Cancer Center","Phase 2","27","Other|Industry","Interventional","July 14, 2017","July 2019","United States of America","2017","2019","7","7","24","1.125"
"9572","NCT01610050","Completed","Prostate Cancer","Drug: LFA102","Novartis Pharmaceuticals","Phase 1","14","Industry","Interventional","June 2012","February 2014","Japan","2012","2014","6","2","20","0.7"
"9573","NCT00337077","Completed","Prostate Cancer","Drug: eribulin mesylate","National Cancer Institute (NCI)","Phase 2","121","NIH","Interventional","November 2006","November 2013","United States of America","2006","2013","11","11","84","1.44047619047619"
"9574","NCT00118092","Completed","Prostate Cancer","Drug: tanespimycin|Other: laboratory biomarker analysis","National Cancer Institute (NCI)","Phase 2","17","NIH","Interventional","January 2005","February 2008","United States of America","2005","2008","1","2","37","0.459459459459459"
"9575","NCT00466752","Completed","Prostate Cancer","Drug: sorafenib tosylate|Genetic: microarray analysis|Other: immunohistochemistry staining method|Genetic: gene expression analysis|Procedure: needle biopsy|Procedure: therapeutic conventional surgery|Other: laboratory biomarker analysis|Genetic: western blotting|Genetic: RNA analysis","University of Washington","Phase 2","5","Other|NIH","Interventional","December 2006","July 1, 2011","United States of America","2006","2011","12","7","55","0.0909090909090909"
"9576","NCT03119857","Recruiting","Prostate Cancer","Drug: Antiandrogen|Drug: Antiandrogen+docetaxel","Andreas Josefsson","Phase 3","430","Other","Interventional","February 2009","December 2022","Sweden","2009","2022","2","12","166","2.59036144578313"
"9577","NCT01488968","Recruiting","Prostate Cancer","Radiation: Standard Radiation Treatment|Radiation: Hypofractionated radiation treatment","AHS Cancer Control Alberta","NA","134","Other","Interventional","March 2012","December 2021","Canada","2012","2021","3","12","117","1.14529914529915"
"9578","NCT03067051","Recruiting","Prostate Cancer","Drug: Verteporfin|Device: SpectraCure P18 System","SpectraCure AB","Phase 1","36","Industry","Interventional","March 21, 2017","August 31, 2019","Canada","2017","2019","3","8","29","1.24137931034483"
"9579","NCT02378870","Terminated","Prostate Cancer","Drug: Osteodex|Drug: Placebo","DexTech Medical AB","Phase 2","3","Industry","Interventional","January 2015","September 2015","Sweden","2015","2015","1","9","8","0.375"
"9580","NCT00798837","Terminated","Prostate Cancer","Radiation: Intraprostatic maximal simultaneous boost","British Columbia Cancer Agency","Phase 1","10","Other","Interventional","December 2008","October 2016","Canada","2008","2016","12","10","94","0.106382978723404"
"9581","NCT00096499","Completed","Prostate Cancer","Drug: ispinesib|Other: pharmacological study|Other: laboratory biomarker analysis","National Cancer Institute (NCI)","Phase 2","40","NIH","Interventional","April 2005","null","United States of America","2005","NA","4","NA","NA","NA"
"9582","NCT03012321","Recruiting","Prostate Cancer","Drug: Olaparib|Drug: Abiraterone Acetate|Drug: Prednisone","Northwestern University","Phase 2","70","Other|Industry|NIH","Interventional","January 2017","January 2022","United States of America","2017","2022","1","1","60","1.16666666666667"
"9583","NCT03362359","Recruiting","Prostate Cancer","Drug: Ga-68-PSMA-11","German Cancer Research Center","Phase 1|Phase 2","173","Other","Interventional","October 9, 2017","December 2020","Switzerland","2017","2020","10","12","38","4.55263157894737"
"9584","NCT00050297","Terminated","Prostate Cancer","Drug: YM598","Astellas Pharma Inc","Phase 2","NA","Industry","Interventional","null","February 2004","United Kingdom","NA","2004","NA","2","NA","NA"
"9585","NCT00678054","Completed","Prostate Cancer","Drug: GM-CSF","University of California, San Francisco","Phase 2","30","Other","Interventional","April 1999","October 23, 2015","United States of America","1999","2015","4","10","198","0.151515151515152"
"9586","NCT01168479","Completed","Prostate Cancer","Radiation: FLAME boost|Radiation: standard arm","UMC Utrecht","Phase 3","567","Other","Interventional","September 2009","January 2016","Netherlands","2009","2016","9","1","76","7.46052631578947"
"9587","NCT00418080","Completed","Prostate Cancer","Drug: bicalutamide","University of L'Aquila","Phase 2","86","Other","Interventional","April 2002","December 2006","Italy","2002","2006","4","12","56","1.53571428571429"
"9588","NCT00039104","Completed","Prostate Cancer","Drug: rebimastat|Drug: zoledronic acid|Other: laboratory biomarker analysis","National Cancer Institute (NCI)","Phase 2","50","NIH","Interventional","April 2002","null","United States of America","2002","NA","4","NA","NA","NA"
"9589","NCT00384839","Completed","Prostate Cancer","Drug: azacitidine for injectable suspension","US Oncology Research","Phase 2","53","Industry|Other","Interventional","April 2006","November 2009","United States of America","2006","2009","4","11","43","1.23255813953488"
"9590","NCT01105130","Completed","Prostate Cancer","Other: Placebo|Dietary Supplement: Oral L-Arginine","Wake Forest University Health Sciences","NA","140","Other|NIH","Interventional","October 2010","January 2014","United States of America","2010","2014","10","1","39","3.58974358974359"
"9591","NCT00327288","Completed","Prostate Cancer","Drug: imexon|Drug: docetaxel","AmpliMed Corporation","Phase 1","34","Industry","Interventional","October 2005","July 2008","United States of America","2005","2008","10","7","33","1.03030303030303"
"9592","NCT00214136","Completed","Prostate Cancer","Radiation: radiotherapy","University of Wisconsin, Madison","Phase 2","30","Other|NIH","Interventional","March 2005","March 2016","United States of America","2005","2016","3","3","132","0.227272727272727"
"9593","NCT01883128","Recruiting","Prostate Cancer","Device: Whole Body MRI|Procedure: Focal Salvage Therapy|Procedure: MRI Targeted biopsies","University College London Hospitals","Phase 2","177","Other","Interventional","April 2014","October 2019","United Kingdom","2014","2019","4","10","66","2.68181818181818"
"9594","NCT03392428","Not yet recruiting","Prostate Cancer","Other: 177Lu-PSMA617|Drug: Cabazitaxel","Australian and New Zealand Urogenital and Prostate Cancer Trials Group","Phase 2","200","Other|Industry","Interventional","January 2018","January 2021","Australia","2018","2021","1","1","36","5.55555555555556"
"9595","NCT03181867","Recruiting","Prostate Cancer","Drug: 18F-DCFPyL","National Cancer Institute (NCI)","Phase 2","330","NIH","Interventional","August 3, 2017","October 1, 2020","United States of America","2017","2020","8","10","38","8.68421052631579"
"9596","NCT00058084","Completed","Prostate Cancer","Drug: ixabepilone|Drug: mitoxantrone hydrochloride|Drug: prednisone","National Cancer Institute (NCI)","Phase 2","80","NIH","Interventional","March 2003","null","United States of America","2003","NA","3","NA","NA","NA"
"9597","NCT02346578","Recruiting","Prostate Cancer","Drug: Enzalutamide|Drug: Flutamide","Taro Iguchi, MD, PHD","NA","100","Other|Industry","Interventional","January 2015","null","Japan","2015","NA","1","NA","NA","NA"
"9598","NCT01441687","Active, not recruiting","Prostate Cancer","Other: laboratory biomarker analysis|Procedure: transrectal prostate biopsy","City of Hope Medical Center","NA","260","Other|NIH","Interventional","December 4, 2009","April 2018","United States of America","2009","2018","12","4","100","2.6"
"9599","NCT02379559","Completed","Prostate Cancer","Behavioral: Exercise|Behavioral: Attention Control","Georgetown University","NA","10","Other","Interventional","July 2013","February 16, 2017","United States of America","2013","2017","7","2","43","0.232558139534884"
"9600","NCT00407875","Suspended","Prostate Cancer","Procedure: Intensity Modulated External Beam Radiation Therapy","British Columbia Cancer Agency","Phase 2","50","Other","Interventional","March 2007","November 2016","Canada","2007","2016","3","11","116","0.431034482758621"
"9601","NCT01120236","Active, not recruiting","Prostate Cancer","Drug: Bicalutamide|Biological: Cixutumumab|Drug: Goserelin Acetate|Other: Laboratory Biomarker Analysis|Drug: Leuprolide Acetate|Other: Pharmacological Study","National Cancer Institute (NCI)","Phase 2","211","NIH","Interventional","December 2010","null","Canada","2010","NA","12","NA","NA","NA"
"9602","NCT01411332","Active, not recruiting","Prostate Cancer","Radiation: SIMRT|Radiation: HTIMRT|Behavioral: EPIC SF-12 Questionnaire|Behavioral: MAX-PC Questionnaire|Behavioral: IPSS Questionnaire","University of Miami","NA","19","Other","Interventional","October 31, 2011","December 2022","United States of America","2011","2022","10","12","134","0.141791044776119"
"9603","NCT00286793","Completed","Prostate Cancer","Drug: AT-101","Ascenta Therapeutics","Phase 1|Phase 2","76","Industry","Interventional","February 2006","November 2009","United States of America","2006","2009","2","11","45","1.68888888888889"
"9604","NCT00917748","Completed","Prostate Cancer","Drug: DOCETAXEL(XRP6976) + MODAFINIL|Drug: Modafinil|Drug: Placebo of Modafinil","Sanofi","Phase 3","84","Industry","Interventional","June 2009","March 2011","Australia","2009","2011","6","3","21","4"
"9605","NCT02582749","Active, not recruiting","Prostate Cancer","Drug: LHRH agonist/antagonist|Drug: Bicalutamide|Radiation: Radium-223 dichloride","Ajjai Alva, MD","Phase 2","204","Other|Industry","Interventional","April 2016","January 2020","United States of America","2016","2020","4","1","45","4.53333333333333"
"9606","NCT01982058","Active, not recruiting","Prostate Cancer","Other: communication intervention|Other: counseling intervention|Other: nutrition intervention|Other: questionnaire administration","Rutgers, The State University of New Jersey","NA","483","Other","Interventional","August 18, 2011","July 2018","United States of America","2011","2018","8","7","83","5.81927710843374"
"9607","NCT01650350","Terminated","Prostate Cancer","Drug: Naltrexone","Maria Constantinou","Phase 2","7","Other","Interventional","November 2012","October 2013","United States of America","2012","2013","11","10","11","0.636363636363636"
"9608","NCT02125357","Active, not recruiting","Prostate Cancer","Drug: Abiraterone acetate|Drug: Enzalutamide","British Columbia Cancer Agency","Phase 2","202","Other","Interventional","September 2014","July 2018","Canada","2014","2018","9","7","46","4.39130434782609"
"9609","NCT00298155","Completed","Prostate Cancer","Drug: goserelin with dutasteride|Drug: goserelin with bicalutamide and dutasteride|Drug: goserelin with bicalutamide and dutasteride and ketoconazole","University of Washington","Phase 2","35","Other|Industry","Interventional","July 2006","January 2014","United States of America","2006","2014","7","1","90","0.388888888888889"
"9610","NCT00283803","Unknown status","Prostate Cancer","Drug: Flutamide|Drug: Leuprolide Acetate|Drug: Exisulind","University of Washington","Phase 2","32","Other|Industry","Interventional","October 2001","December 2010","United States of America","2001","2010","10","12","110","0.290909090909091"
"9611","NCT00031187","Completed","Prostate Cancer","Drug: SGN-15 (cBR96-doxorubicin immunoconjugate)|Drug: Taxotere (docetaxel)","Seattle Genetics, Inc.","Phase 2","160","Industry","Interventional","October 2000","July 2003","United States of America","2000","2003","10","7","33","4.84848484848485"
"9612","NCT01691976","Unknown status","Prostate Cancer","Drug: Oestrogen Patches|Drug: LHRHa","Imperial College London","NA","10","Other","Interventional","October 2012","March 2014","United Kingdom","2012","2014","10","3","17","0.588235294117647"
"9613","NCT03315260","Not yet recruiting","Prostate Cancer","Drug: Radium-223 dichloride (Xofigo, BAY88-8223)","Bayer","NA","150","Industry","Observational","May 15, 2018","October 31, 2018","Japan","2018","2018","5","10","5","30"
"9614","NCT01567800","Recruiting","Prostate Cancer","Other: 18F-Fluoroazomycin Arabinoside (18F-FAZA)","University Health Network, Toronto","NA","20","Other","Interventional","April 2012","March 2019","Canada","2012","2019","4","3","83","0.240963855421687"
"9615","NCT00167648","Completed","Prostate Cancer","Drug: Leuprolide or goserelin|Drug: Transdermal estradiol","University of Washington","Phase 2","17","Other","Interventional","March 2005","December 2006","United States of America","2005","2006","3","12","21","0.80952380952381"
"9616","NCT03261336","Recruiting","Prostate Cancer","Drug: Calcitriol, Ketoconazole, Hydrocortisone","Donald Trump, MD","Phase 2","15","Other","Interventional","January 6, 2017","June 30, 2018","United States of America","2017","2018","1","6","17","0.882352941176471"
"9617","NCT00002677","Completed","Prostate Cancer","Drug: chemotherapy|Drug: tributyrin","University of Maryland","Phase 1","24","Other|NIH","Interventional","August 1995","March 2003","United States of America","1995","2003","8","3","91","0.263736263736264"
"9618","NCT01819740","Unknown status","Prostate Cancer","Other: determine the levels of the ""HEM"" substance in seminal plasma","Corporacion Parc Tauli","NA","28","Other","Observational","April 2013","null","Spain","2013","NA","4","NA","NA","NA"
"9619","NCT02233608","Completed","Prostate Cancer","Behavioral: Advanced Pelvic Floor Muscle Exercise (APFX)","University of Guelph-Humber","Phase 1|Phase 2","88","Other","Interventional","January 2015","September 28, 2017","Canada","2015","2017","1","9","32","2.75"
"9620","NCT02229253","Completed","Prostate Cancer","Drug: degarelix","Ferring Pharmaceuticals","NA","112","Industry","Observational","September 2014","October 4, 2017","Netherlands","2014","2017","9","10","37","3.02702702702703"
"9621","NCT00003115","Completed","Prostate Cancer","Drug: hydromorphone hydrochloride","Roswell Park Cancer Institute","Phase 3","40","Other","Interventional","June 1996","February 2004","United States of America","1996","2004","6","2","92","0.434782608695652"
"9622","NCT02110667","Completed","Prostate Cancer","Device: Transperineal Ultrasound","University of Vermont Medical Center","NA","15","Other","Observational","April 2014","December 31, 2016","United States of America","2014","2016","4","12","32","0.46875"
"9623","NCT01857908","Completed","Prostate Cancer","NA","University Health Network, Toronto","NA","20","Other","Observational","June 2012","null","Canada","2012","NA","6","NA","NA","NA"
"9624","NCT00175396","Unknown status","Prostate Cancer","Procedure: Androgen suppression, radiotherapy|Procedure: Androgen suppression, radiotherapy, iodine 125 brachytherapy","University of British Columbia","Phase 3","400","Other","Interventional","May 2004","June 2014","Canada","2004","2014","5","6","121","3.30578512396694"
"9625","NCT00002668","Terminated","Prostate Cancer","Behavioral: Observation|Behavioral: Educational Intervention and Behavioral Skills Training","Eastern Cooperative Oncology Group","NA","13","Other|NIH","Interventional","October 1995","September 1998","Puerto Rico","1995","1998","10","9","35","0.371428571428571"
"9626","NCT00335634","Completed","Prostate Cancer","NA","University Health Network, Toronto","NA","50","Other","Observational","June 2006","July 2009","Canada","2006","2009","6","7","37","1.35135135135135"
"9627","NCT00003533","Terminated","Prostate Cancer","Drug: Antineoplaston therapy (Atengenal + Astugenal)","Burzynski Research Institute","Phase 2","12","Other","Interventional","February 27, 1996","December 31, 1999","United States of America","1996","1999","2","12","46","0.260869565217391"
"9628","NCT00390468","Completed","Prostate Cancer","Drug: Tandutinib","National Cancer Institute (NCI)","Phase 2","18","NIH","Interventional","October 2006","November 2009","United States of America","2006","2009","10","11","37","0.486486486486487"
"9629","NCT00419536","Terminated","Prostate Cancer","Drug: LBH589","Novartis Pharmaceuticals","Phase 1","108","Industry","Interventional","May 2006","null","United States of America","2006","NA","5","NA","NA","NA"
"9630","NCT02881242","Not yet recruiting","Prostate Cancer","Other: Laboratory Biomarker Analysis|Other: Quality-of-Life Assessment|Drug: Trametinib","Jonsson Comprehensive Cancer Center","Phase 2","62","Other|NIH","Interventional","January 31, 2018","January 31, 2021","United States of America","2018","2021","1","1","36","1.72222222222222"
"9631","NCT03141671","Not yet recruiting","Prostate Cancer","Drug: GnRH|Drug: Bicalutamide|Radiation: Salvage radiation|Drug: Abiraterone|Drug: Prednisone|Drug: Apalutamide","Dana-Farber Cancer Institute","Phase 2","190","Other|Industry","Interventional","June 2017","September 30, 2024","United States of America","2017","2024","6","9","87","2.18390804597701"
"9632","NCT02940262","Recruiting","Prostate Cancer","Device: Computed Tomography|Radiation: Gallium Ga 68-labeled PSMA Ligand Glu-urea-Lys(Ahx)-HBED-CC|Other: Laboratory Biomarker Analysis|Device: Positron Emission Tomography","Jonsson Comprehensive Cancer Center","NA","200","Other|NIH","Interventional","September 5, 2016","August 2022","United States of America","2016","2022","9","8","71","2.8169014084507"
"9633","NCT02603965","Completed","Prostate Cancer","Radiation: Copper Cu 64 TP3805|Procedure: Positron Emission Tomography|Procedure: Computed Tomography|Procedure: Radical Prostatectomy|Other: Laboratory Biomarker Analysis","Sidney Kimmel Cancer Center at Thomas Jefferson University","Phase 1","25","Other|NIH","Interventional","August 2013","September 2014","United States of America","2013","2014","8","9","13","1.92307692307692"
